City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,Santa Maria,-29.6842,-53.8069,23.34,93,97,2.13,BR,1702613770
293,Kijang,35.2442,129.2139,16.85,94,100,4.22,KR,1702613837
294,Manokwari,-0.8667,134.0833,29.58,70,92,4.54,ID,1702613771
295,Newman,37.3138,-121.0208,10.16,61,100,1.83,US,1702613691
296,Port Isabel,26.0734,-97.2086,20.02,89,100,0.0,US,1702613389
297,Nagqu,31.5,92.0,-7.05,58,1,3.8,CN,1702613955
298,Chegdomyn,51.1167,133.0167,-25.92,81,42,1.03,RU,1702613771
299,Ta`U,-14.2336,-169.5144,26.08,86,99,5.87,AS,1702613668
300,Gorontalo,0.5412,123.0595,32.39,58,84,1.88,ID,1702613772
301,Reggane,26.7158,0.1714,15.04,25,0,7.53,DZ,1702613956
302,Port Douglas,-16.4833,145.4667,25.29,92,100,4.77,AU,1702613383
303,Vorgashor,67.5833,63.95,-22.0,100,94,1.96,RU,1702613603
304,San Matias,-16.3667,-58.4,27.42,61,89,1.93,BO,1702613773
305,Berezovyy,51.6667,135.7,-20.45,51,0,2.77,RU,1702613773
306,Tocopilla,-22.092,-70.1979,19.56,68,62,0.55,CL,1702613956
307,Juan Griego,11.0817,-63.9655,25.06,87,55,4.18,VE,1702613773
308,Tadine,-21.55,167.8833,25.35,58,36,5.19,NC,1702613774
309,Green River,41.5286,-109.4662,-1.78,59,0,0.89,US,1702613774
310,Sao Jose Da Coroa Grande,-8.8978,-35.1478,25.14,82,83,3.32,BR,1702613957
311,Porto Franco,-6.3383,-47.3992,25.15,78,100,1.13,BR,1702613774
312,Tsiombe,-25.3,45.4833,28.77,63,2,2.52,MG,1702613630
313,Swift Current,50.2834,-107.8014,-1.55,69,100,3.09,CA,1702613665
314,Kyaikkami,16.08,97.5675,28.01,67,28,2.65,MM,1702613775
315,Queenstown,-31.8976,26.8753,13.03,80,100,2.02,ZA,1702613775
316,Port Alfred,-33.5906,26.891,16.77,95,82,0.45,ZA,1702613682
317,Samoylovka,51.184,43.7081,-7.32,77,99,7.74,RU,1702613776
318,Galappo,-4.2667,35.85,18.34,92,93,1.39,TZ,1702613776
319,Neryungri,56.6709,124.6491,-25.69,89,100,6.43,RU,1702613776
320,Sanming,26.2486,117.6186,26.49,60,0,2.55,CN,1702613777
321,Tomelilla,55.5429,13.9546,2.03,96,57,3.21,SE,1702613777
322,Bardai,11.65,7.2333,14.77,37,3,4.24,NG,1702613777
323,Aykhal,66.0,111.5,-32.1,100,96,2.65,RU,1702613763
324,Kudahuvadhoo,2.6708,72.8944,26.75,74,100,3.24,MV,1702613778
325,Lufilufi,-13.8745,-171.5986,28.88,84,99,7.84,WS,1702613778
326,Ghanzi,-21.5667,21.7833,22.29,74,100,4.05,BW,1702613778
327,Port Macquarie,-31.4333,152.9167,23.83,78,52,4.12,AU,1702613655
328,Dawesville,30.9224,-84.0091,12.6,47,100,4.63,US,1702613779
329,Chonchi,-42.6128,-73.8092,11.18,95,100,4.48,CL,1702613640
330,Cockburn Town,21.4612,-71.1419,24.94,77,25,12.49,TC,1702613640
331,Nogliki,51.8333,143.1667,-19.81,76,5,5.81,RU,1702613958
332,Havre,49.5833,0.3333,9.87,87,100,4.63,FR,1702613780
333,Mugia,43.1041,-9.2179,11.06,83,39,3.97,ES,1702613780
334,Ballesteros,18.4126,121.5152,26.9,73,33,2.75,PH,1702613780
